No.,Name,Type 1,Type 2,HP,Strength,Max Strength,Dexterity,Max Dexterity,Vitality,Max Vitalty,Special,Max Special,Insight,Max Insight,Ability 1,Ability 2,Hidden Ability,Event Abilities,Unevolved?,Has a form?,Recommended Rank,Gender Type
#001,Bulbasaur,Grass,Poison,3,2,4,2,4,2,4,2,4,2,4,Overgrow,,Chlorophyll,,Yes,,Beginner,
#002,Ivysaur,Grass,Poison,4,2,4,2,4,2,4,2,5,2,5,Overgrow,,Chlorophyll,,Yes,,Amateur,
#003,Venusaur,Grass,Poison,5,2,5,2,5,2,5,3,6,3,6,Overgrow,,Chlorophyll,,,Yes,Ace,
#003,Mega-Venusaur,Grass,Poison,6,3,6,2,5,3,7,3,6,3,6,Thick Fat,,,,,,Pro,
#004,Charmander,Fire,,3,2,4,2,4,1,3,2,4,2,4,Blaze,,Solar Power,,Yes,,Beginner,
#005,Charmeleon,Fire,,4,2,4,2,5,2,4,2,5,2,4,Blaze,,Solar Power,,Yes,,Amateur,
#006,Charizard,Fire,Flying,5,2,5,3,6,2,5,3,6,2,5,Blaze,,Solar Power,,,Yes,Ace,
#006,Mega-Charizard Y,Fire,Flying,6,3,6,3,6,2,5,4,8,3,6,Drought,,,,,,Pro,
#006,Mega-Charizard X,Fire,Dragon,6,3,7,3,6,3,6,3,7,2,5,Tough Claws,,,,,,Pro,
#007,Squirtle,Water,,3,2,4,1,3,2,4,2,4,2,4,Torrent,,Rain Dish,,Yes,,Beginner,
#008,Wartortle,Water,,4,2,4,2,4,2,5,2,4,2,5,Torrent,,Rain Dish,,Yes,,Amateur,
#009,Blastoise,Water,,5,2,5,2,5,3,6,2,5,3,6,Torrent,,Rain Dish,,,Yes,Ace,
#009,Mega-Blastoise,Water,,6,3,6,2,5,3,7,3,6,3,6,Mega Launcher,,,,,,Pro,
#010,Caterpie,Bug,,3,1,3,2,4,1,3,1,3,1,3,Shield Dust,,Run Away,,Yes,,Starter,
#011,Metapod,Bug,,4,1,3,1,3,2,4,1,3,1,3,Shed Skin,,,,Yes,,Beginner,
#012,Butterfree,Bug,Flying,5,2,4,2,5,2,4,2,5,2,5,Compound Eyes,,Tinted Lens,,,,Amateur,
#013,Weedle,Bug,Poison,3,1,3,2,4,1,3,1,3,1,3,Shield Dust,,Run Away,,Yes,,Starter,
#014,Kakuna,Bug,Poison,4,1,3,1,3,2,4,1,3,1,3,Shed Skin,,,,Yes,,Beginner,
#015,Beedrill,Bug,Poison,5,2,5,2,5,2,4,2,4,2,5,Swarm,,Sniper,,,Yes,Amateur,
#015,Mega-Beedrill,Bug,Poison,6,4,8,4,8,1,3,1,2,2,5,Adaptability,,,,,,Ace,
#016,Pidgey,Normal,Flying,3,2,4,2,4,1,3,1,3,1,3,Keen Eye,Tangled Feet,Big Pecks,,Yes,,Beginner,
#017,Pidgeotto,Normal,Flying,4,2,4,2,5,2,4,2,4,2,4,Keen Eye,Tangled Feet,Big Pecks,,Yes,,Amateur,
#018,Pidgeot,Normal,Flying,5,2,5,3,6,2,5,2,5,2,5,Keen Eye,Tangled Feet,Big Pecks,,,Yes,Ace,
#018,Mega-Pidgeot,Normal,Flying,6,2,5,3,7,2,5,3,7,2,5,No Guard,,,,,,Pro,
#019,Rattata,Normal,,3,2,4,2,5,1,3,1,3,1,3,Run Away,Guts,Hustle,,Yes,,Starter,
#019A,Alolan Rattata,Dark,Normal,3,2,4,2,5,1,3,1,3,1,3,Gluttony,Hustle,Thick Fat,,Yes,,Starter,
#020,Raticate,Normal,,4,2,5,3,6,2,4,2,4,2,5,Run Away,Guts,Hustle,,,,Amateur,
#020A,Alolan Raticate,Dark,Normal,4,2,5,2,5,2,5,1,3,2,5,Gluttony,Hustle,Thick Fat,,,,Amateur,
#021,Spearow,Normal,Flying,3,2,4,2,5,1,3,1,3,1,3,Keen Eye,,Sniper,,Yes,,Beginner,
#022,Fearow,Normal,Flying,4,2,5,3,6,2,4,2,4,2,4,Keen Eye,,Sniper,,,,Amateur,
