Attack Order,bug,PHYSICAL,3,STRENGTH,,TOUGH,NATURE,Foe,High Critical. Ranged.,""
Bug Bite,bug,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,If the Target Pokémon is holding a berry. the user eats it and gains its effect.,""
Bug Buzz,bug,SPECIAL,3,SPECIAL,,SPECIAL,PERFORM,Foe,Sound Based. Roll 1 Chance Dice to reduce foe's Sp. Defense.,""
Defend Order,bug,SUPPORT,0,,,TOUGH,NATURE,User,User Increases its Defense and Sp. Defense.,""
Fell Stinger,bug,PHYSICAL,1,STRENGTH,,DEXTERITY,BRAWL,Foe,If the foe faints due to damage from this attack increase the user's Strength by 2.,""
First Impression,bug,PHYSICAL,3,STRENGTH,,STRENGTH,INTIMIDATE,Foe,Priority 2. This move will only work the First Round the Pokémon is out in battle. From the second round on it will fail automatically.,""
Fury Cutter,bug,PHYSICAL,1,STRENGTH,,DEXTERITY,BRAWL,Foe,Successive Actions.,""
Heal Order,bug,SUPPORT,0,,,TOUGH,NATURE,User,Basic Heal.,""
Infestation,bug,SPECIAL,1,SPECIAL,,DEXTERITY,CHANNEL,Foe,Blocks. Roll 2 Dice of Damage against the foe at the end of each Round. Lasts 4 Rounds.,""
Leech Life,bug,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,The user restores HP equal to half the damage dealt rounded down.,""
Lunge,bug,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,Reduce foe's Strength.,""
Megahorn,bug,PHYSICAL,5,STRENGTH,,STRENGTH,BRAWL,Foe,Lethal Damage. -2 Accuracy.,""
Pin Missile,bug,PHYSICAL,1,STRENGTH,,DEXTERITY,BRAWL,Foe,Ranged. Successive Actions.,""
Pollen Puff,bug,SPECIAL,3,SPECIAL,,SPECIAL,CHANNEL,Foe,When this move is used against an ally it will 1 HP instead of dealing damage.,""
Powder,bug,SUPPORT,0,,,INSIGHT,NATURE,Foe,Add 3 Dice of Damage to the next Fire Type attack that hits the target.,""
Quiver Dance,bug,SUPPORT,0,,,BEAUTY,PERFORM,User,Increases Dexterity. Special and Sp. Defense.,""
Rage Powder,bug,SUPPORT,0,,,INSIGHT,INTIMIDATE,User,Priority 2. During this Round. all damage moves from any foe must target the User.,""
